[_w t e m e ]_w
[_w d o ɡ e ]_w
[_w n ɔ i p ]_w
[_w z a m ]_w
[_w d e t i ]_w
[_w e k m a ]_w
[_w d a b i ]_w
[_w b a m ]_w
[_w n o t n ]_w
[_w i n d o ]_w
[_w t i m a ]_w
[_w m a n e ]_w
[_w w e m e ]_w
[_w t a p m ]_w
[_w n ɔ m a ]_w
[_w z a t ]_w
[_w z e j a ]_w
[_w d i w e ]_w
[_w t a l a ]_w
[_w a i k e ]_w
[_w t o w e ]_w
[_w i m b i ]_w
[_w t a k e ]_w
[_w p i t a ]_w
[_w t e m a ]_w
[_w z e k ŋ ]_w
[_w a n d i ]_w
[_w m a m a ]_w
[_w a ŋ ɡ a ]_w
[_w t a i n ]_w
[_w u l u k ]_w
[_w z i i ]_w
[_w a l a k ]_w
[_w a k a ]_w
[_w n d a t ]_w
[_w t a w e ]_w
[_w k a t i ]_w
[_w b e m e ]_w
[_w m a t i ]_w
[_w a t a m ]_w
[_w s e l a ]_w
[_w b i t a ]_w
[_w m a m m ]_w
[_w t u s u ]_w
[_w z e k ]_w
[_w k a i k ]_w
[_w a i k a ]_w
[_w m i m i ]_w
[_w k a p i ]_w
[_w d ɔ ɡ ɔ ]_w
[_w t a b e ]_w
[_w m kʷ a t ]_w
[_w w a k ]_w
[_w t i t i ]_w
[_w l a l a ]_w
[_w m e t i ]_w
[_w e p a p ]_w
[_w n o t i ]_w
[_w ɡ u m e ]_w
[_w s a j e ]_w
[_w n d o m ]_w
[_w i n d i ]_w
[_w t a m ]_w
[_w m i n n ]_w
[_w m e p i ]_w
[_w j o m m ]_w
[_w i l i n ]_w
[_w ŋ o k ]_w
[_w m e t ]_w
[_w k a z a ]_w
[_w s e m a ]_w
[_w e l o t ]_w
[_w i n d e ]_w
[_w k a l a ]_w
[_w m u t u ]_w
[_w e k o k ]_w
[_w w a t i ]_w
[_w z a m a ]_w
[_w a t a t ]_w
[_w m e p e ]_w
[_w i s i p ]_w
[_w e k e k ]_w
[_w s i s a ]_w
[_w m i a k ]_w
[_w z e m e ]_w
[_w e l e ŋ ]_w
[_w d a p m ]_w
[_w t a b i ]_w
[_w t u l u ]_w
[_w b e w e ]_w
[_w b i p m ]_w
[_w m b e ɡ ]_w
[_w e d a ŋ ]_w
[_w ɡ l i k ]_w
[_w p e w e ]_w
[_w t e t i ]_w
[_w n o a ]_w
[_w e z e m ]_w
[_w t ɔ t ɔ ]_w
[_w ɡ a n a ]_w
[_w a l i m ]_w
[_w j e ɡ ]_w
[_w o m b a ]_w
[_w s o k ŋ ]_w
[_w a i k ]_w
[_w n a t i ]_w
[_w w a i n ]_w
[_w a m b e ]_w
[_w i n d a ]_w
[_w w a n ]_w
[_w t i m e ]_w
[_w m s a b ]_w
[_w k o p a ]_w
[_w ŋ e p ]_w
[_w e l i m ]_w
[_w l o m a ]_w
[_w k o k e ]_w
[_w m o t i ]_w
[_w m s a t ]_w
[_w e t a ŋ ]_w
[_w k i ŋ ]_w
[_w z i z a ]_w
[_w kʷ i t ]_w
[_w s e i n ]_w
[_w p i e n ]_w
[_w kʷ i d i ]_w
[_w n z a p ]_w
[_w b e p ]_w
[_w m e e ]_w
[_w k o i n ]_w
[_w m p e m ]_w
[_w m i s a ]_w
[_w b e t e ]_w
[_w m i ŋ a ]_w
[_w k a s a ]_w
[_w n ɔ m ]_w
[_w a m p e ]_w
[_w m m a ]_w
[_w a w i n ]_w
[_w b u ŋ i ]_w
[_w t a p e ]_w
[_w ɡ a t ]_w
[_w n d i k ]_w
[_w p ɔ l ]_w
[_w k o p e ]_w
[_w z ɔ l ]_w
[_w n ɔ i t ]_w
[_w e l o d ]_w
[_w s e w i ]_w
[_w t i m ]_w
[_w m b u n ]_w
[_w k u k u ]_w
[_w ŋ o ɡ ]_w
[_w kʷ a ŋ ]_w
[_w t i k ŋ ]_w
[_w m ɔ t i ]_w
[_w ɡ i l o ]_w
[_w ɡ a z a ]_w
[_w z i w e ]_w
[_w a ŋ ɡ o ]_w
